"key","english","latvian"
"gallery.items.brochures.description","Eye-catching brochures for effective marketing campaigns.","Pievilcīgas brošūras efektīvām mārketinga kampaņām."
"gallery.items.brochures.title","Brochures","Brošūras"
"gallery.items.businessCards.description","Premium quality business cards with various finishing options.","Premium kvalitātes vizītkartes ar dažādām apdares iespējām."
"gallery.items.businessCards.title","Business Cards","Vizītkartes"
"gallery.items.largeFormat.description","Impressive banners, posters, and signage for any occasion.","Iespaidīgi baneri, plakāti un norādes jebkuram gadījumam."
"gallery.items.largeFormat.title","Large Format Printing","Lielformāta Druka"
"gallery.items.marketing.description","Comprehensive marketing materials for integrated campaigns.","Visaptveroši mārketinga materiāli integrētām kampaņām."
"gallery.items.marketing.title","Marketing Materials","Mārketinga Materiāli"
"gallery.items.merchandise.description","High-quality promotional items that represent your brand.","Kvalitatīvas reklāmas preces, kas perfekti reprezentē jūsu zīmolu."
"gallery.items.merchandise.title","Branded Merchandise","Brendētās Preces"
"gallery.items.packaging.description","Custom packaging solutions that leave a lasting impression.","Individuāli iepakojuma risinājumi, kas atstāj paliekošu iespaidu."
"gallery.items.packaging.title","Packaging","Iepakojums"
"gallery.noResults","No items found in this category.","Šajā kategorijā darbi nav atrasti."
"gallery.title","Our Work","Mūsu Darbi"
"gallery.viewMore","View Full Portfolio","Skatīt Pilno Portfolio"
"hero.cta.primary","Get Started","Sākt"
"hero.cta.quote","Get a Quote","Iegūsti piedāvājumu"
"hero.cta.secondary","View Our Work","Skatīt Darbus"
"hero.cta.services","View Services","Skatīt pakalpojumus"
"hero.description","Premium printing services crafted to elevate your brand with modern technology and exceptional quality.","Drukas pakalpojumi, kas veidoti, lai celtu jūsu zīmola vērtību ar modernām tehnoloģijām un izcilu kvalitāti."
"hero.headline.line1","Think Bigger.","Domā Lielāk."
"hero.headline.line2","Print Bolder.","Drukā Drosmīgāk."
"hero.subtitle","Print Bolder.","Drukā Drosmīgāk."
"hero.title","Think Bigger.","Domā Lielāk."
"loadingMessage","Loading...","Notiek ielāde..."
"nav.about","About","Par Mums"
"nav.blog","Blog","Blogs"
"nav.closeMenu","Close menu","Aizvērt izvēlni"
"nav.contact","Contact","Kontakti"
"nav.faq","FAQ","BUJ"
"nav.gallery","Gallery","Mūsu Darbi"
"nav.goToHomepage","Go to homepage","Doties uz sākumlapu"
"nav.guidelines","File Guidelines","Failu Vadlīnijas"
"nav.home","Home","Sākums"
"nav.login","Login","Ieiet"
"nav.openMenu","Open menu","Atvērt izvēlni"
"nav.pricing","Pricing","Cenrādis"
"nav.services","Services","Pakalpojumi"
"nav.testimonials","Testimonials","Atsauksmes"
"notFound.description","The page you are looking for does not exist.","Lapa, kuru meklējat, neeksistē."
"notFound.goHomeButton","Go to homepage","Doties uz sākumlapu"
"notFound.title","404 - Page not found","404 - Lapa nav atrasta"
"notFoundMessage","Page not found.","Lapa nav atrasta."
"pricing.description","Browse our service prices.","Bāzes cenas. Lielākiem apjomiem un specifiskiem darbiem sagatavosim individuālu piedāvājumu."
"pricing.note","Prices include VAT.","Cenas norādītas ar PVN."
"pricing.table.price","Price","Cena"
"pricing.table.service","Service","Pakalpojums"
"pricing.title","Pricing","Cenrādis"
"services.description","We offer a wide range of printing and design services to meet your needs. From business cards to large-format printing — we are here to help your ideas materialize.","Mēs piedāvājam plašu drukas un dizaina pakalpojumu klāstu, lai apmierinātu visas jūsu vajadzības. No vizītkartēm līdz lielformāta drukai – mēs esam šeit, lai palīdzētu jūsu idejām materializēties."
"services.empty","Service list is currently being updated.","Pakalpojumu saraksts pašlaik tiek atjaunots."
"services.items.apgerbuDrukas.description","Personalized T-shirts, hoodies and other apparel with your design or logo.","Personalizēti T-krekli, džemperi un citi apģērbi ar jūsu dizainu vai logo. Sietspiede, termo druka, izšūšana."
"services.items.apgerbuDrukas.title","Apparel Printing","Apģērbu Drukas"
"services.items.citiDrukasPakalpojumi.description","If you don't find what you're looking for, contact us — we offer custom solutions.","Ja neatrodat meklēto, sazinieties ar mums! Piedāvājam arī citus specifiskus drukas risinājumus."
"services.items.citiDrukasPakalpojumi.title","Other Printing Services","Citi Drukas Pakalpojumi"
"services.items.grafiskaisDizains.description","Professional design services — logo, layout, and visual identity.","Profesionāli dizaina pakalpojumi – logo izstrāde, maketēšana, vizuālās identitātes veidošana."
"services.items.grafiskaisDizains.title","Graphic Design","Grafiskais Dizains"
"services.items.iepakojumaDrukas.description","Custom packaging solutions for your products.","Unikāli iepakojuma risinājumi jūsu produktiem. Kastes, maisiņi, etiķetes ar individuālu dizainu."
"services.items.iepakojumaDrukas.title","Packaging Printing","Iepakojuma Drukas"
"services.items.lielformataDrukas.description","Banners, posters, stickers, and other large-format solutions.","Baneri, plakāti, uzlīmes un citi liela izmēra drukas risinājumi āra un iekštelpu reklāmai."
"services.items.lielformataDrukas.title","Large Format Printing","Lielformāta Drukas"
"services.items.reklamasMateriali.description","A wide range of promotional items — pens, mugs, calendars, and more.","Plašs reklāmas materiālu klāsts – pildspalvas, krūzes, kalendāri un citi priekšmeti ar jūsu zīmolu."
"services.items.reklamasMateriali.title","Promotional Items","Reklāmas Materiāli"
"services.items.skrejlapasBroshuras.description","Effective marketing materials to promote your business.","Efektīvi mārketinga materiāli jūsu biznesa popularizēšanai. Dažādi izmēri un locījumi."
"services.items.skrejlapasBroshuras.title","Flyers and Brochures","Skrejlapas un Brošūras"
"services.items.suveniriDrukas.description","Personalized souvenirs — keychains, magnets, puzzles, and more.","Personalizēti suvenīri – atslēgu piekariņi, magnēti, puzles un citi priekšmeti ar jūsu attēlu vai logo."
"services.items.suveniriDrukas.title","Souvenir Printing","Suvenīru Drukas"
"services.items.vizitkartes.description","Professional business cards that leave a lasting impression.","Profesionālas vizītkartes, kas atstās paliekošu iespaidu. Dažādi materiāli un apdares iespējas."
"services.items.vizitkartes.title","Business Cards","Vizītkartes"
"services.items.zimogiShtampi.description","Fast and quality production of stamps and seals.","Ātra un kvalitatīva zīmogu un štampu izgatavošana dažādām vajadzībām."
"services.items.zimogiShtampi.title","Stamps and Seals","Zīmogi un Štampi"
"services.title","Our Services","Mūsu Pakalpojumi"
"testimonials.noData","No testimonials yet.","Pagaidām nav pievienotas atsauksmes."
"testimonials.seeAll","See all testimonials","Skatīt visas atsauksmes"
"testimonials.title","Testimonials","Atsauksmes"
